(1177581266.9+0j),(-588783264.88+1019802090.97j)
(-18163627.9879+348943259.666j),(-293111941.845-190200942.985j)
(10691579.3389+189994513.192j),(-169885830.939-85737466.3331j)
(848445.166567+127442144.519j),(-110792119.058-62986993.8046j)
(527673.313103+88689089.0489j),(-77071134.0478-43886891.1859j)
(-3935420.51156+70911735.0911j),(-59444035.5027-38864057.5528j)
(333927.973827+60987393.9991j),(-52983778.1606-30204068.5814j)
(-6638119.69715+48396485.4824j),(-38593636.7703-29946529.8793j)
(-2164131.65437+51783498.1385j),(-43763244.6941-27765834.1592j)
(2822625.56572+40884598.8306j),(-36818178.3162-17998334.8276j)
(-569706.123232+35596598.9646j),(-30542586.425-18292015.1771j)
(-1897862.16399+33675030.9136j),(-28214864.4898-18480989.1472j)
(-1573286.21236+31228860.46j),(-26258970.6013-16976521.0805j)
(-3014477.64652+30810484.0544j),(-25174991.5876-18015898.5917j)
(-1013192.23039+24859415.0109j),(-21022337.5361-13306940.2859j)
(-693468.296687+24215866.0506j),(-20625207.719-12708230.4604j)
(-818101.383864+21625004.758j),(-18318825.1758-11520727.0012j)
(-2393038.66462+22995493.9636j),(-18717701.6019-13570151.5405j)
(-203469.783315+22363384.7044j),(-19265262.1215-11357950.7665j)
(-333012.375132+18345660.3327j),(-15721456.1168-9461330.4547j)
(-671694.339612+17547276.8113j),(-14860206.5969-9354947.26772j)
(414615.339685+16782649.664j),(-14742035.4136-8032352.92435j)
(201707.013124+17310857.6355j),(-15092710.6017-8481195.56342j)
(-746425.273537+16986755.5668j),(-14337913.6911-9139789.42566j)
(547794.217633+16178321.8007j),(-14284543.1065-7614820.66905j)
(-164333.857543+13960776.3046j),(-12008003.7019-7122424.68797j)
(-1237679.81621+13078116.7995j),(-10707514.2488-7610610.66436j)
(-2296964.6374+13777651.4057j),(-10783164.9876-8877963.47735j)
(287554.664787+13409403.3516j),(-11756537.6464-6456170.36924j)
(-51956.2536439+11722145.3765j),(-10125767.0496-5906365.62281j)
(-68038.2893254+12366524.1804j),(-10675558.5039-6242290.2214j)
(168395.214437+11397243.9074j),(-9954220.02935-5552825.92861j)
(-1167464.63285+11718440.7389j),(-9564539.59955-6870057.62882j)
(-713110.106572+11566530.3375j),(-9660527.8425-6400867.70684j)
(-917197.77491+10949845.9741j),(-9024510.38357-6269310.25519j)
(377080.095105+9786822.3037j),(-8664341.34213-4566971.15776j)
(-751172.126432+9126887.63139j),(-7528532.32893-5213882.68298j)
(-828430.258494+9651025.28464j),(-7943724.54499-5542890.00135j)
(152303.955103+9739477.31163j),(-8511160.47107-4737993.47955j)
(-667431.657264+10416382.1054j),(-8686800.53513-5786030.4922j)
(-244174.969414+9483784.72478j),(-8090727.95195-4953124.73793j)
(-1761111.23035+8322494.25203j),(-6326987.01897-5686145.83324j)
(-924446.507722+8673969.79121j),(-7049696.17197-5137621.13407j)
(-551152.067471+8371968.75467j),(-6974799.90983-4663193.19607j)
(-484628.227624+8983082.10162j),(-7537111.25304-4911157.27827j)
(-291461.146217+7677998.12651j),(-6503867.11532-4091592.70505j)
(-822480.632199+8137328.73195j),(-6635790.36913-4781168.07863j)
(-397463.718416+7355963.27918j),(-6171686.71586-4022411.53918j)
(-1309331.97522+7330416.79029j),(-5693647.52603-4798967.25998j)
(-146911.024141+7729717.51142j),(-6620820.07286-3992203.49142j)
(-147367.743824+7183457.60345j),(-6147601.86062-3719431.3577j)
(-446096.906002+6722124.88495j),(-5598531.39659-3747388.6199j)
